Resident_ID,First_Name,Last_Name,DoB,Income,Gender,Tax,University_University_ID,Complaints_Complaint_ID,Public_Service_Public_Service_ID,Event_Event_ID
R1040,Freda,Costain,1983-04-14,35464531.0,M,5319679.65,27,,1401.0,100388.0
R1041,Constantino,Turmel,1975-07-01,15711574.0,F,2356736.1,25,100000431.0,,100074.0
R1042,Andromache,Garfirth,1985-07-09,76166660.0,O,11424999.0,15,100000177.0,1197.0,100475.0
R1043,Zacherie,Dobbie,1987-06-24,96596707.0,M,14489506.05,23,100000077.0,1072.0,100669.0
R1044,Oralla,Clothier,1985-09-26,95735439.0,O,14360315.85,20,100000322.0,,100653.0
R1045,Sheridan,Lindroos,2017-09-01,,O,,12,100000052.0,1121.0,100173.0
R1046,Claudianus,Meddick,1990-10-07,86449545.0,F,12967431.75,21,,,100106.0
R1047,Ewell,Crossby,2007-05-14,16063818.0,M,2409572.7,14,100000030.0,1114.0,100120.0
R1048,Riane,Castagnone,2020-09-15,,O,,18,100000320.0,1362.0,
R1049,Upton,Loxly,1985-10-24,1452204.0,M,217830.6,20,100000194.0,1198.0,100522.0
R1050,Wrennie,Jerrome,2019-10-25,,F,,30,100000190.0,1684.0,
R1051,Agnesse,Djurisic,2007-03-22,4976796.0,F,746519.4,16,,,100309.0
R1052,Elwood,Cheshir,1979-03-17,18122958.0,F,2718443.7,30,100000134.0,1303.0,100374.0
R1053,Annmaria,Few,1995-06-30,4070224.0,O,610533.6,12,100000469.0,1153.0,100646.0
R1054,Prince,Petegrew,2013-07-10,,O,,23,100000444.0,1500.0,100130.0
R1055,Elianore,Josilevich,2003-05-04,41786107.0,F,6267916.05,14,,1677.0,100580.0
R1056,Padget,Wrightson,2005-10-04,16003108.0,M,2400466.2,17,100000316.0,1719.0,100487.0
R1057,Evvy,Moye,2019-04-04,,,,19,100000234.0,,100435.0
R1058,Erminie,Paulich,1988-02-05,47277842.0,O,7091676.3,16,100000370.0,,100414.0
R1059,Ruddie,Lindbergh,2016-11-20,,O,,18,100000314.0,1053.0,100675.0
R1060,Adelle,Samwell,2001-10-18,82434491.0,M,12365173.65,27,100000050.0,1389.0,100428.0
R1061,Standford,Tattoo,1980-09-16,44047792.0,F,6607168.8,27,,1011.0,
R1062,Hort,Ramalhete,1991-07-04,94401843.0,M,14160276.45,18,100000622.0,,100166.0
R1063,Zandra,Orry,1996-02-24,62389833.0,,9358474.95,19,100000459.0,,100221.0
R1064,Peta,Pilkinton,1988-10-04,77825464.0,F,11673819.6,22,100000368.0,1350.0,100455.0
R1065,Federica,Dorken,2022-12-31,,O,,27,,1518.0,100527.0
R1066,Alleen,Furber,1996-08-29,8564771.0,F,1284715.65,19,,1671.0,100566.0
R1067,Rafaelita,Turneaux,2022-08-16,,M,,26,,1578.0,100564.0
R1068,Hershel,Nassau,1990-10-27,25906678.0,O,3886001.7,26,,1114.0,100606.0
R1069,Fabe,MacSharry,2004-04-12,2431195.0,M,364679.25,12,100000098.0,1467.0,100463.0
R1070,Latashia,Imlock,1990-06-13,44529917.0,O,6679487.55,17,100000532.0,1100.0,100396.0
R1071,Burk,Petschel,1980-12-06,49564426.0,O,7434663.9,24,100000189.0,1507.0,100348.0
R1072,Georgina,Wetton,1975-12-27,5704867.0,O,855730.05,15,,1731.0,100208.0
R1073,Gasparo,Grimwade,2022-10-28,,O,,28,,1015.0,100058.0
R1074,Casie,Dolligon,2011-08-07,,M,,11,100000641.0,1580.0,100705.0
R1075,Willi,Sheara,2005-12-08,94485997.0,O,14172899.55,30,,1722.0,100264.0
R1076,Michale,Godfrey,1982-07-23,65869309.0,,9880396.35,28,,,100060.0
R1077,Hodge,Gillebride,2002-09-28,7526781.0,,1129017.15,28,,1345.0,100035.0
R1078,Franky,Baress,2015-08-10,,M,,11,100000602.0,1395.0,100145.0
R1079,Gal,Millsap,2018-01-10,,M,,27,,1383.0,
R1080,Mariska,Espy,1990-05-28,98751932.0,O,14812789.8,27,,1515.0,100012.0
R1081,Arvie,Mainwaring,2019-04-15,,M,,30,100000275.0,1039.0,100372.0
R1082,Inness,Blackaller,1996-03-29,26853077.0,M,4027961.55,27,100000620.0,1065.0,100609.0
R1083,Aube,Dobrovolski,2002-10-12,50221465.0,O,7533219.75,18,100000294.0,1355.0,100463.0
R1084,Rufus,Keslake,1980-12-25,66701588.0,F,10005238.2,27,,1078.0,
R1085,Linnea,Frankum,1987-10-14,62293955.0,O,9344093.25,29,,1551.0,100535.0
R1086,Bertha,Draco,1986-03-21,34145402.0,M,5121810.3,23,100000707.0,1462.0,
R1087,Aline,Peschka,2021-03-30,,F,,25,100000555.0,1712.0,
R1088,Fionnula,Tembey,2012-03-07,,M,,30,,1655.0,100232.0
R1089,Archer,Arboin,1986-09-07,56569077.0,O,8485361.55,13,100000730.0,1653.0,100088.0
R1090,Annmarie,Banane,1978-06-03,26602527.0,O,3990379.05,13,100000465.0,1598.0,100526.0
R1091,Cyndia,Payn,2018-10-17,,O,,26,100000052.0,1663.0,100189.0
R1092,Shayne,Ingerith,1987-03-15,16612053.0,M,2491807.95,22,100000662.0,,100593.0
R1093,Pascale,Capstake,1988-04-12,46947530.0,M,7042129.5,26,100000653.0,1521.0,100114.0
R1094,Gardener,Fike,2012-12-15,,O,,19,100000279.0,1369.0,100164.0
R1095,Papageno,Blythin,2024-02-11,,O,,29,,1091.0,100294.0
R1096,Hashim,Nizard,1993-12-16,41916048.0,M,6287407.2,11,100000111.0,1658.0,
R1097,Doe,Sturgeon,2008-08-18,18173439.0,O,2726015.85,20,,,100013.0
R1098,Agosto,Nenci,2014-03-12,,O,,28,100000694.0,1168.0,
R1099,Cassondra,Playle,2014-06-13,,F,,12,,1518.0,100348.0
R1100,Stillman,Edensor,2001-01-30,86522177.0,O,12978326.55,22,100000034.0,1083.0,100492.0
R1101,Katie,Spatig,2003-09-17,97850380.0,O,14677557.0,29,100000323.0,,
R1102,Andie,Alecock,1989-04-05,51905228.0,O,7785784.2,23,100000349.0,1573.0,100687.0
R1103,Frazier,Le Breton De La Vieuville,2011-12-25,,F,,20,,1677.0,100147.0
R1104,Cheryl,Antat,1998-06-05,58123566.0,,8718534.9,22,100000370.0,1474.0,
R1105,August,Gilbride,1983-04-15,34989440.0,M,5248416.0,28,,1324.0,100159.0
R1106,Rivi,Sill,2007-05-18,99228957.0,M,14884343.55,28,100000038.0,1674.0,100075.0
R1107,Gerianne,Harman,1989-06-08,66811835.0,M,10021775.25,23,100000573.0,1210.0,
R1108,Bartie,Desorts,2003-09-04,63425146.0,M,9513771.9,27,,1265.0,100154.0
R1109,Nerta,Kubalek,2023-04-14,,F,,21,,1348.0,100192.0
R1110,Shawna,Skeeles,2009-09-16,,F,,25,,,100294.0
R1111,Beau,Vaadeland,1999-01-24,46499722.0,,6974958.3,27,,1118.0,
R1112,Gardiner,Iacopetti,1979-12-06,89899525.0,,13484928.75,12,,1437.0,100478.0
R1113,Free,Bingle,2014-09-08,,O,,30,100000165.0,1149.0,100138.0
R1114,Edlin,Scopham,2012-11-30,,F,,29,,1456.0,100274.0
R1115,Peyton,De Lisle,1994-04-08,69815347.0,O,10472302.05,26,100000303.0,1522.0,100431.0
R1116,Aimee,Klimkowski,2002-05-03,97687040.0,M,14653056.0,18,100000607.0,1724.0,100371.0
R1117,Harmonia,Arblaster,2001-02-27,34454852.0,O,5168227.8,17,100000064.0,1158.0,100007.0
R1118,Rourke,Daykin,2014-08-13,,F,,23,100000503.0,,100256.0
R1119,Theresa,Jeanon,1992-12-01,96445956.0,M,14466893.4,17,100000293.0,1266.0,100636.0
R1120,Patin,Workes,2019-05-09,,F,,18,,1176.0,100115.0
R1121,Bryanty,Hinckesman,1987-04-21,91469342.0,F,13720401.3,21,100000327.0,,
R1122,Valentijn,Fendt,2013-06-15,,,,14,100000264.0,1640.0,100377.0
R1123,Jesus,Cowing,2017-10-21,,M,,19,100000078.0,1320.0,100168.0
R1124,Oliviero,Othick,1987-03-04,40176483.0,F,6026472.45,30,100000107.0,1334.0,100143.0
R1125,Ab,Foulds,2001-07-27,43599253.0,M,6539887.95,13,,1251.0,100040.0
R1126,Norris,Rivlin,1981-02-13,83866044.0,M,12579906.6,20,,1522.0,100576.0
R1127,Lari,Hollington,1982-07-03,29054096.0,M,4358114.4,15,100000131.0,1194.0,100557.0
R1128,Leroi,Duffit,1993-10-06,63180039.0,F,9477005.85,22,100000431.0,1111.0,100675.0
R1129,Reube,Fennick,2000-07-05,2862255.0,M,429338.25,12,100000649.0,1346.0,
R1130,Christa,Proske,1981-11-27,22271911.0,F,3340786.65,15,,1541.0,
R1131,Cindelyn,Carletti,1998-08-31,76054635.0,F,11408195.25,15,,1481.0,100169.0
R1132,Terrence,Champney,1986-09-24,49634002.0,M,7445100.3,23,,1356.0,100382.0
R1133,Ellen,Gawith,1978-10-31,97420883.0,F,14613132.45,20,,1465.0,
R1134,Benoit,Lorne,1981-05-26,24262928.0,O,3639439.2,22,100000431.0,,
R1135,Norbert,McKirton,1980-08-12,64313858.0,M,9647078.7,25,100000392.0,1416.0,100573.0
R1136,Constantia,Rigge,2005-10-24,77985916.0,O,11697887.4,30,100000415.0,1619.0,
R1137,Kennett,Petrina,1987-11-03,42402780.0,O,6360417.0,13,,1204.0,100690.0
R1138,Vivi,Redish,2009-01-09,10467276.0,M,1570091.4,21,100000573.0,,100608.0
R1139,Tibold,Dreigher,1980-07-04,29139339.0,O,4370900.85,26,100000688.0,1138.0,
R1140,Karoly,Worman,1988-04-26,60549509.0,O,9082426.35,11,,1469.0,100466.0
R1141,Silvie,Sibyllina,2004-10-03,66149990.0,F,9922498.5,29,100000062.0,1198.0,100456.0
R1142,Hernando,Mindenhall,1994-01-15,7734125.0,M,1160118.75,16,100000146.0,1403.0,
R1143,Marrilee,Chorlton,2013-12-05,,F,,13,,1082.0,100229.0
R1144,Derby,Piechnik,1999-08-07,4752621.0,O,712893.15,13,100000240.0,1654.0,
R1145,Mylo,Pinnegar,1983-12-29,7484990.0,O,1122748.5,18,,1120.0,100463.0
R1146,Katusha,Cohani,2024-04-29,,F,,19,,1706.0,
R1147,Galvan,Prydden,1980-11-11,72262001.0,M,10839300.15,18,,,100361.0
R1148,Lezlie,Newlin,2021-04-14,,M,,29,100000366.0,1391.0,100538.0
R1149,Olivero,Miguel,1988-05-08,2039136.0,M,305870.4,14,,1202.0,100181.0
R1150,Riley,Inchboard,2016-08-27,,M,,21,100000345.0,1263.0,
R1151,Fabio,Shemmin,1991-09-13,5764404.0,F,864660.6,21,,1006.0,100340.0
R1152,Garey,O Keevan,2000-10-12,70051356.0,O,10507703.4,11,100000681.0,1090.0,100600.0
R1153,Sanford,Morrish,2001-06-15,73986247.0,O,11097937.05,30,100000378.0,1362.0,
R1154,Lian,Simison,1986-10-19,83631025.0,O,12544653.75,28,100000166.0,1127.0,100239.0
R1155,Elly,Grunnill,1983-01-20,74368665.0,M,11155299.75,28,100000718.0,,100174.0
R1156,Bertha,Whitland,1990-02-25,64071289.0,O,9610693.35,21,,1100.0,100467.0
R1157,Lowe,Haukey,2009-07-23,,O,,26,100000271.0,,100685.0
R1158,Richard,De Ath,2000-11-10,25866768.0,O,3880015.2,29,,1280.0,
R1159,Donny,Bohlje,1991-02-21,19114140.0,O,2867121.0,20,100000601.0,1453.0,
R1160,Elston,Tremmel,2000-05-25,7393675.0,F,1109051.25,26,100000502.0,1350.0,100270.0
R1161,Janela,Lutwyche,2017-12-11,,,,17,100000523.0,1143.0,100716.0
R1162,Callida,Mullinder,1982-11-16,25803717.0,O,3870557.55,29,100000441.0,1112.0,100094.0
R1163,Karim,Blount,2011-08-01,,M,,13,,1467.0,100404.0
R1164,Gigi,Yantsev,2009-04-30,,F,,17,100000158.0,1540.0,100238.0
R1165,Mikol,Aspinwall,2008-10-21,51953027.0,M,7792954.05,29,100000432.0,1005.0,
R1166,Tim,Skeleton,1989-10-13,87759260.0,O,13163889.0,19,,1058.0,100680.0
R1167,Pearle,Savins,2006-07-07,90068746.0,F,13510311.9,13,100000158.0,1013.0,
R1168,Faun,Wogdon,2019-04-24,,O,,28,100000279.0,1647.0,100175.0
R1169,Denny,Leiden,1978-12-02,55361649.0,M,8304247.35,21,100000572.0,1562.0,100677.0
R1170,Gerladina,Alleyn,1978-04-24,96384567.0,M,14457685.05,27,,1572.0,100128.0
R1171,Ber,Greystoke,1990-12-10,31783426.0,,4767513.9,28,100000593.0,1333.0,100365.0
R1172,Royal,Ashley,2024-10-18,,M,,28,,1379.0,
R1173,Ashlen,Rosenzwig,2022-10-23,,O,,29,100000450.0,1375.0,100699.0
R1174,Terrance,Kopelman,1988-10-11,40177391.0,M,6026608.65,25,,1204.0,
R1175,Caro,Brumbie,2023-07-27,,O,,14,,1547.0,100245.0
R1176,Clo,Lomasna,2004-11-03,71584505.0,M,10737675.75,26,,1289.0,100333.0
R1177,Dianna,Nickless,1992-09-13,32840996.0,M,4926149.4,22,,1118.0,100105.0
R1178,Latashia,Winspurr,1987-09-21,50863260.0,M,7629489.0,25,100000690.0,1446.0,100390.0
R1179,Ram,Dunsire,1994-01-05,7075139.0,M,1061270.85,26,,1359.0,
R1180,Bessie,Linklater,1997-10-31,70311312.0,F,10546696.8,25,,1317.0,100603.0
R1181,Shara,Devonshire,1978-06-21,3271041.0,O,490656.15,15,,1087.0,100674.0
R1182,Tab,Arnison,2007-10-31,17175837.0,M,2576375.55,26,,1605.0,100375.0
R1183,Dionisio,MacMakin,1987-09-05,69978870.0,F,10496830.5,11,100000233.0,1437.0,100117.0
R1184,Charlton,Grewer,1993-10-12,47156380.0,M,7073457.0,11,,1118.0,
R1185,Pall,Dewbury,1991-02-16,12816886.0,O,1922532.9,27,100000111.0,1125.0,
R1186,Arthur,Adolf,2002-07-27,81593097.0,F,12238964.55,13,,1050.0,100509.0
R1187,Noell,West,1999-05-19,53472882.0,O,8020932.3,22,100000198.0,1081.0,100366.0
R1188,Jerrilyn,Drews,1993-10-07,48366180.0,O,7254927.0,13,100000031.0,1404.0,
R1189,Henderson,Jent,1993-07-16,24284483.0,O,3642672.45,23,,1497.0,100266.0
R1190,Beck,Zarfat,1978-04-26,41905711.0,O,6285856.65,25,,1685.0,100121.0
R1191,Kristien,Brodbin,2011-05-14,,M,,27,100000335.0,1714.0,100596.0
R1192,Devlen,Schottli,2011-04-20,,,,15,100000580.0,1519.0,100050.0
R1193,Derrek,Crummie,1981-07-06,46525304.0,M,6978795.6,27,,1121.0,100347.0
R1194,Avram,Robardley,1989-08-28,52572340.0,F,7885851.0,20,100000684.0,1602.0,100127.0
R1195,Reginauld,Fortnam,2016-12-29,,F,,26,100000632.0,1110.0,
R1196,Jacinthe,Simmig,2013-02-03,,M,,26,,1063.0,100681.0
R1197,Carry,Pacheco,1998-12-04,47696437.0,O,7154465.55,14,100000077.0,,
R1198,Lindsay,Polycote,2007-08-27,22427489.0,O,3364123.35,18,100000719.0,1593.0,100286.0
R1199,Shelton,Greger,1981-04-25,51234970.0,M,7685245.5,24,,1266.0,
R1200,Jeremias,Cleave,1986-11-28,78605791.0,M,11790868.65,11,,1682.0,100535.0
R1201,Faith,Braine,1985-02-13,82142445.0,O,12321366.75,17,,1530.0,100665.0
R1202,Rheta,Antrag,2019-10-10,,M,,16,,1135.0,
R1203,Effie,Falla,1998-12-22,57321380.0,M,8598207.0,27,,1296.0,100235.0
R1204,Esdras,Tomaschke,1994-03-06,696998.0,M,104549.7,19,,1007.0,100712.0
R1205,Berkeley,Caltun,1991-02-16,18755218.0,O,2813282.7,26,100000595.0,,100328.0
R1206,Clarissa,Dibling,1993-09-30,37973501.0,F,5696025.15,23,100000418.0,1416.0,100717.0
R1207,Batholomew,Ranken,1996-10-03,65492709.0,F,9823906.35,18,100000056.0,1438.0,100321.0
R1208,Nisse,Perrins,1980-07-08,75917735.0,O,11387660.25,18,100000042.0,1612.0,
R1209,Stephine,Swaysland,2016-09-17,,O,,20,100000158.0,1370.0,100718.0
R1210,Nolly,Coggings,1991-11-13,92431970.0,O,13864795.5,25,100000205.0,1160.0,
R1211,Filippa,MacDermid,2018-03-30,,O,,14,,1195.0,100239.0
R1212,Estrellita,Lethcoe,1997-12-20,86240512.0,O,12936076.8,20,100000465.0,1577.0,100480.0
R1213,Paolo,Mowday,2009-09-27,,F,,16,,1709.0,100442.0
R1214,Geralda,Nuccii,1986-10-01,23891190.0,O,3583678.5,26,,,100394.0
R1215,Michell,Houseley,2007-02-01,68073498.0,M,10211024.7,17,100000715.0,1080.0,100075.0
R1216,Ramonda,Forbes,1988-06-28,94900416.0,,14235062.4,28,100000685.0,1087.0,100562.0
R1217,Natalie,McCaster,2023-02-26,,M,,29,,,100719.0
R1218,Helen,Spellar,2021-09-28,,F,,15,100000284.0,1715.0,100055.0
R1219,Tootsie,Pottberry,2018-06-04,,F,,13,,1442.0,100042.0
R1220,Hasty,Essex,2017-11-29,,M,,13,100000615.0,1268.0,100193.0
R1221,Emlyn,Roder,2023-03-27,,O,,21,,,100582.0
R1222,Ciro,Jouandet,2016-12-03,,O,,25,100000209.0,1674.0,100329.0
R1223,Tad,Eadington,1984-05-05,91566787.0,M,13735018.05,23,100000265.0,1136.0,100702.0
R1224,Margie,Steptowe,1990-04-21,75746337.0,M,11361950.55,26,100000453.0,1159.0,100379.0
R1225,Zonnya,Fundell,2014-01-04,,F,,29,100000003.0,1087.0,100550.0
R1226,Josephina,Middler,1994-02-25,83911011.0,O,12586651.65,19,100000351.0,1573.0,100446.0
R1227,Bert,Dudbridge,2017-11-11,,F,,29,100000287.0,1122.0,100093.0
R1228,Eric,Bloodworthe,1976-01-04,72156369.0,M,10823455.35,20,100000544.0,1276.0,100524.0
R1229,Josy,Hawken,2019-07-28,,F,,21,100000163.0,1043.0,
R1230,Kin,Caplis,1992-07-29,48052065.0,M,7207809.75,19,,1238.0,100194.0
R1231,Nadiya,Sircombe,2016-07-05,,M,,19,,1040.0,100674.0
R1232,Orelee,Burnard,1998-10-26,8093742.0,O,1214061.3,16,,1634.0,100577.0
R1233,Gwynne,Redit,1981-02-07,4556195.0,F,683429.25,16,100000705.0,1423.0,
R1234,Bili,Felten,2006-10-10,46062141.0,O,6909321.15,17,,,
R1235,Lewie,Laguerre,1981-03-26,58008136.0,O,8701220.4,28,,1277.0,100423.0
R1236,Wildon,O Heneghan,2004-01-24,34335485.0,F,5150322.75,28,,,100537.0
R1237,Quinton,McHardy,2000-09-01,4150215.0,,622532.25,12,100000187.0,1548.0,100118.0
R1238,Boyce,Sammon,2015-03-23,,O,,11,,1694.0,100163.0
R1239,Mei,Cowap,2024-11-29,,,,22,100000550.0,1709.0,100060.0
R1240,Brandy,Netti,2001-05-06,95614375.0,M,14342156.25,21,,1520.0,100557.0
R1241,Maisey,Alderton,2022-04-17,,M,,28,100000307.0,1039.0,100352.0
R1242,Katha,Arent,1984-11-21,85672202.0,O,12850830.3,25,100000356.0,1362.0,100239.0
R1243,Cole,Careless,2009-07-19,,M,,15,,,100264.0
R1244,Yalonda,Coleshill,2020-09-11,,O,,23,100000209.0,1419.0,100362.0
R1245,Franchot,Volcker,1996-09-23,78055941.0,,11708391.15,21,,1430.0,100212.0
R1246,Hillery,Leal,2009-06-28,,O,,29,100000140.0,1545.0,
R1247,Urban,Toombs,2013-06-20,,O,,16,100000391.0,1562.0,100612.0
R1248,Oby,Walker,1999-09-01,45500304.0,M,6825045.6,26,,,100478.0
R1249,Sheila,Klosser,1981-09-07,67175023.0,O,10076253.45,13,,1392.0,100611.0
R1250,Shermie,Cramb,1994-09-04,67580804.0,O,10137120.6,28,,1678.0,100617.0
R1251,Glory,Gowans,2024-06-13,,F,,18,100000475.0,1695.0,100698.0
R1252,Cinderella,Pacheco,2010-01-27,,F,,26,100000019.0,1513.0,100388.0
R1253,Sophia,Rivaland,1990-11-01,72394264.0,O,10859139.6,28,,1652.0,100073.0
R1254,Leda,McPhelimy,2018-01-25,,F,,16,,1447.0,100463.0
R1255,Warden,Brammall,2011-11-06,,F,,28,,1471.0,100459.0
R1256,Leilah,Winspare,2015-07-25,,O,,30,100000363.0,1096.0,
R1257,Mellisent,Crich,1979-10-18,31306195.0,F,4695929.25,12,100000521.0,,100582.0
R1258,Lorianna,Yushkov,2020-10-05,,M,,24,,1407.0,100652.0
R1259,Corrie,Yeardley,2015-12-01,,F,,17,100000289.0,1691.0,
R1260,Arly,Epilet,2012-11-23,,O,,21,,1256.0,100674.0
R1261,Gallagher,Fydoe,2002-01-21,69242929.0,F,10386439.35,18,100000281.0,1220.0,100340.0
R1262,Marcel,Matthesius,1977-12-26,85020230.0,M,12753034.5,28,100000412.0,1241.0,100569.0
R1263,Fanny,Lafont,2016-11-20,,O,,27,,1281.0,100485.0
R1264,Violetta,Satchel,2014-07-07,,M,,18,100000526.0,1444.0,100501.0
R1265,Neda,Macknish,1989-06-09,72343904.0,F,10851585.6,26,100000433.0,1415.0,100431.0
R1266,Leyla,Wondraschek,2010-09-07,,M,,16,100000193.0,1432.0,100051.0
R1267,Gweneth,Matovic,2003-09-16,50785719.0,,7617857.85,18,,1176.0,100606.0
R1268,Rodi,Fooks,1998-08-21,4247601.0,M,637140.15,30,,1133.0,100694.0
R1269,Stinky,Souch,2008-07-20,50211879.0,O,7531781.85,12,100000311.0,1344.0,100414.0
R1270,Normand,Loveman,2008-10-26,30490822.0,F,4573623.3,17,,1408.0,
R1271,Rolando,Dolligon,1998-10-27,84573277.0,O,12685991.55,25,,1189.0,100017.0
R1272,Bond,Khristoforov,2009-08-19,,M,,13,100000057.0,1224.0,100494.0
R1273,Kassey,Scard,1982-06-16,56570175.0,F,8485526.25,15,,1269.0,100086.0
R1274,Bessie,Savary,1979-03-14,78606220.0,M,11790933.0,11,,1635.0,100117.0
R1275,Leland,Cargenven,1979-09-30,43485436.0,O,6522815.4,29,100000515.0,1178.0,100665.0
R1276,Talyah,Abbey,2009-01-02,71717630.0,M,10757644.5,27,100000148.0,1068.0,
R1277,Colby,Deignan,2018-08-31,,F,,11,,1599.0,100358.0
R1278,Barbee,Cansfield,1988-07-10,77047717.0,M,11557157.55,29,100000077.0,1565.0,100639.0
R1279,Hesther,Hollingsbee,2018-04-12,,O,,29,100000187.0,1527.0,100615.0
R1280,Dede,Kemsley,2009-08-22,,M,,15,,1434.0,100707.0
R1281,Terry,Eastby,1998-03-08,36529439.0,M,5479415.85,22,,1171.0,100493.0
R1282,Gar,Balle,2015-01-02,,F,,29,100000526.0,1517.0,100565.0
R1283,Ken,Brearty,1979-09-13,27613260.0,F,4141989.0,23,100000026.0,1538.0,100068.0
R1284,Muriel,Kippie,1977-07-16,45923455.0,M,6888518.25,12,,1195.0,100150.0
R1285,Roderick,Witton,2004-11-17,1039051.0,F,155857.65,29,100000440.0,1284.0,100631.0
R1286,Gustie,McAllan,2004-07-03,61947660.0,M,9292149.0,16,100000088.0,1151.0,100550.0
R1287,Lucila,Swane,1975-08-04,71928381.0,M,10789257.15,18,,1123.0,100643.0
R1288,Elijah,Pawlaczyk,2003-07-26,40039068.0,M,6005860.2,30,,1590.0,100580.0
R1289,Karin,Pideon,1986-02-16,12871635.0,M,1930745.25,26,100000429.0,,100718.0
R1290,Cora,Breawood,1999-10-24,53204823.0,F,7980723.45,15,100000466.0,1260.0,100041.0
R1291,Mozes,Champney,2012-05-08,,M,,13,100000018.0,,100556.0
R1292,Allayne,Jobern,2010-10-17,,O,,11,,1356.0,100353.0
R1293,Timoteo,Doley,2004-10-20,3961985.0,F,594297.75,11,100000429.0,,100614.0
R1294,Gale,Mills,2006-10-20,45040816.0,M,6756122.4,14,,1478.0,100245.0
R1295,Aristotle,Gounin,2011-05-18,,O,,30,100000515.0,1564.0,100463.0
R1296,Jill,Denyagin,2017-05-28,,M,,14,,1320.0,100194.0
R1297,Stewart,Magnay,1999-01-18,65470576.0,O,9820586.4,11,,1167.0,100629.0
R1298,Virge,Sangra,2015-07-18,,M,,23,,1689.0,100276.0
R1299,Yancey,Exell,1996-09-02,19072912.0,F,2860936.8,19,100000496.0,1209.0,100338.0
R1300,Marja,Pfeifer,1975-12-27,88468010.0,M,13270201.5,14,,1145.0,100507.0
